iter	Passed	Remaining
467	699	794
468	699	792
469	700	789
470	701	787
471	701	785
472	702	782
473	703	780
474	704	778
475	705	776
476	706	774
477	707	772
478	708	770
479	708	767
480	709	765
481	710	763
482	711	761
483	712	759
484	713	758
485	714	755
486	715	753
487	716	751
488	717	749
489	717	747
490	719	745
491	720	743
492	721	741
493	722	739
494	722	737
495	723	735
496	724	732
497	724	730
498	725	728
499	726	726
500	727	724
501	728	722
502	729	720
503	729	718
504	730	716
505	731	713
506	731	711
507	733	710
508	734	708
509	736	707
510	736	705
511	737	703
512	738	700
513	738	698
514	739	696
515	740	694
516	741	692
517	742	690
518	743	688
519	744	686
520	744	684
521	745	682
522	746	680
523	746	678
524	747	676
525	748	674
526	749	672
527	751	671
528	751	669
529	752	667
530	753	665
531	754	663
532	754	661
533	755	659
534	756	657
535	757	655
536	758	653
537	759	651
538	759	649
539	760	647
540	761	646
541	762	644
542	763	642
543	764	641
544	765	639
545	766	637
546	767	635
547	768	633
548	769	631
549	769	629
550	770	627
551	771	625
552	771	623
553	772	621
554	773	619
555	773	617
556	774	616
557	775	614
558	775	612
559	776	610
560	777	608
561	777	606
562	778	604
563	779	602
564	780	600
565	781	599
566	782	597
567	783	595
568	784	593
569	784	592
570	785	590
571	786	588
572	786	586
573	787	584
574	788	582
575	789	580
576	789	579
577	790	577
578	791	575
579	792	573
580	793	571
581	793	570
582	794	568
583	795	566
584	796	565
585	797	563
586	798	561
587	799	560
588	800	558
589	800	556
590	801	554
591	802	553
592	803	551
593	804	549
594	804	547
595	805	546
596	806	544
597	807	542
598	807	540
599	809	539
600	810	538
601	811	536
602	812	535
603	813	533
604	814	531
605	814	529
606	815	528
607	816	526
608	817	524
609	818	523
610	819	521
611	819	519
612	820	518
613	821	516
614	822	514
615	822	512
616	823	511
617	824	509
618	825	507
619	826	506
620	827	504
621	827	503
622	828	501
623	829	499
624	830	498
625	831	496
626	832	494
627	832	493
628	833	491
629	834	490
630	835	488
631	836	486
632	837	485
633	837	483
634	838	482
635	839	480
636	840	479
637	841	477
638	842	475
639	843	474
640	844	472
641	844	471
642	845	469
643	846	467
644	846	466
645	847	464
646	849	463
647	849	461
648	850	460
649	851	458
650	852	456
651	853	455
652	853	453
653	855	452
654	856	451
655	857	449
656	858	448
657	859	446
658	859	444
659	860	443
660	861	441
661	861	439
662	862	438
663	863	437
664	864	435
665	865	434
666	866	432
667	866	430
668	867	429
669	869	428
670	870	427
671	872	425
672	872	424
673	873	422
674	874	421
675	875	419
676	876	418
677	877	416
678	878	415
679	879	413
680	880	412
681	881	410
682	881	409
683	882	407
684	883	406
685	884	404
686	885	403
687	886	402
688	887	400
689	888	399
690	889	397
691	890	396
692	890	394
693	891	393
694	892	391
695	893	390
696	894	388
697	895	387
698	895	385
699	896	384
700	897	382
701	897	381
702	898	379
703	899	378
704	900	376
705	901	375
706	902	373
707	903	372
708	903	370
709	904	369
710	905	367
711	905	366
712	906	364
713	907	363
714	908	362
715	909	360
716	909	359
717	910	357
718	911	356
719	912	354
720	912	353
721	913	351
722	914	350
723	915	348
724	916	347
725	917	346
726	917	344
727	918	343
728	919	341
729	920	340
730	920	338
731	921	337
732	921	335
733	922	334
734	923	332
735	924	331
736	925	330
737	926	328
738	926	327
739	927	325
740	928	324
741	929	323
742	929	321
743	931	320
744	932	319
745	933	317
746	934	316
747	934	314
748	935	313
749	936	312
750	936	310
751	937	309
752	938	307
753	939	306
754	940	305
755	940	303
756	941	302
757	942	300
758	942	299
759	943	297
760	944	296
761	945	295
762	947	294
763	948	292
764	949	291
765	949	290
766	951	288
767	952	287
768	953	286
769	954	285
770	955	283
771	956	282
772	957	281
773	958	279
774	959	278
775	961	277
776	962	276
777	963	275
778	964	273
779	965	272
780	966	271
781	967	269
782	968	268
783	970	267
784	971	265
785	971	264
786	972	263
787	973	261
788	974	260
789	976	259
790	977	258
791	978	257
792	980	255
793	980	254
794	981	253
795	982	251
796	983	250
797	984	249
798	985	247
799	986	246
800	987	245
801	988	243
802	989	242
803	991	241
804	992	240
805	993	239
806	994	237
807	995	236
808	996	235
809	998	234
810	1001	233
811	1002	232
812	1003	230
813	1004	229
814	1006	228
815	1007	227
816	1008	225
817	1009	224
818	1010	223
819	1011	221
820	1012	220
821	1013	219
822	1014	218
823	1015	217
824	1017	215
825	1018	214
826	1018	213
827	1019	211
828	1021	210
829	1022	209
830	1024	208
831	1025	207
832	1026	205
833	1026	204
834	1027	203
835	1029	201
836	1030	200
837	1031	199
838	1032	198
839	1033	196
840	1034	195
841	1034	194
842	1035	192
843	1037	191
844	1037	190
845	1038	189
846	1039	187
847	1040	186
848	1040	185
849	1041	183
850	1042	182
851	1043	181
852	1044	179
853	1045	178
854	1045	177
855	1046	176
856	1047	174
857	1048	173
858	1048	172
859	1049	170
860	1051	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1056	163
866	1057	162
867	1058	161
868	1059	159
869	1060	158
870	1061	157
871	1061	155
872	1062	154
873	1063	153
874	1064	152
875	1065	150
876	1066	149
877	1067	148
878	1068	147
879	1069	145
880	1069	144
881	1070	143
882	1071	141
883	1071	140
884	1072	139
885	1073	138
886	1074	136
887	1075	135
888	1076	134
889	1076	133
890	1077	131
891	1078	130
892	1078	129
893	1079	128
894	1080	126
895	1081	125
896	1083	124
897	1083	123
898	1084	121
899	1085	120
900	1086	119
901	1086	118
902	1087	116
903	1088	115
904	1089	114
905	1090	113
906	1090	111
907	1091	110
908	1092	109
909	1093	108
910	1093	106
911	1094	105
912	1095	104
913	1096	103
914	1097	101
915	1098	100
916	1099	99
917	1100	98
918	1100	97
919	1101	95
920	1102	94
921	1102	93
922	1103	92
923	1104	90
924	1105	89
925	1106	88
926	1107	87
927	1107	85
928	1108	84
929	1109	83
930	1110	82
931	1111	81
932	1112	79
933	1113	78
934	1114	77
935	1114	76
936	1115	75
937	1116	73
938	1117	72
939	1117	71
940	1118	70
941	1119	68
942	1120	67
943	1121	66
944	1122	65
945	1122	64
946	1123	62
947	1124	61
948	1125	60
949	1125	59
950	1127	58
951	1128	56
952	1129	55
953	1130	54
954	1130	53
955	1131	52
956	1132	50
957	1132	49
958	1133	48
959	1134	47
960	1135	46
961	1136	44
962	1137	43
963	1138	42
964	1138	41
965	1139	40
966	1140	38
967	1140	37
968	1142	36
969	1143	35
970	1143	34
971	1144	32
972	1145	31
973	1146	30
974	1147	29
975	1147	28
976	1148	27
977	1149	25
978	1150	24
979	1151	23
980	1151	22
981	1152	21
982	1153	19
983	1154	18
984	1155	17
985	1156	16
986	1157	15
987	1158	14
988	1159	12
989	1160	11
990	1160	10
991	1161	9
992	1162	8
993	1162	7
994	1163	5
995	1164	4
996	1165	3
997	1166	2
998	1166	1
999	1167	0
